bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
BNY MELLON INTERNATIONAL,183100,1,high Tier 1 Ratio / high CET1 Ratio,0,104.22,104.22,104.22,16.92,317.37,381.21,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
BRITISH ARAB COMMERCIAL BANK,204564,0,low Tier 1 Ratio / low CET1 Ratio,0,13.8,13.8,17.4,7.2,234.0,166.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
C HOARE AND CO,122093,0,low Tier 1 Ratio / low CET1 Ratio,0,23.0,23.0,23.21,9.29,341.0,250.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
CAMBRIDGE AND COUNTIES BANK,579415,0,low Tier 1 Ratio / low CET1 Ratio,0,19.2,21.3,21.7,14.71,587.0,136.0,FY2025,FY2025,FY2025,FY2024,FY2025,FY2024,0,0,0,0,0,0
CASTLE TRUST CAPITAL,541910,0,low Tier 1 Ratio / low CET1 Ratio,0,13.35,13.35,15.72,7.22,189.07,178.27,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
CHARITY BANK,207701,0,low Tier 1 Ratio / low CET1 Ratio,0,17.33,17.33,19.58,10.13,206.0,139.7,FY2025,FY2025,FY2025,FY2025,FY2023,FY2023,0,0,0,0,0,0
CHETWOOD,740551,0,low Tier 1 Ratio / low CET1 Ratio,0,15.2,15.2,15.2,5.19,194.0,145.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
CITIBANK UK,805574,1,high Tier 1 Ratio / high CET1 Ratio,0,72.7,81.8,90.8,16.7,836.0,401.6,FY2023,FY2023,FY2023,FY2023,FY2023,FY2023,0,0,0,0,0,0
CLEARBANK,754568,1,high Tier 1 Ratio / high CET1 Ratio,0,49.75,49.75,49.75,20.05,396.85,20366.5,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
CLYDESDALE,121873,0,low Tier 1 Ratio / low CET1 Ratio,0,14.3,16.6,19.3,6.3,164.0,143.0,FY2026,FY2026,FY2026,FY2026,FY2026,FY2026,0,0,0,0,0,0
CO-OPERATIVE BANK,121885,0,low Tier 1 Ratio / low CET1 Ratio,0,18.7,18.7,22.7,4.0,193.4,133.3,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
COUTTS,122287,0,low Tier 1 Ratio / low CET1 Ratio,0,11.4,13.5,16.3,7.6,287.0,153.75,FY2025,FY2025,FY2025,FY2025,,,0,0,0,0,1,1
CREDIT SUISSE UK,124269,1,high Tier 1 Ratio / high CET1 Ratio,0,191.0,191.0,20.7,87.0,1154.0,3600.0,FY2025,FY2025,,FY2025,FY2025,FY2025,0,0,1,0,0,0
CROWN AGENTS BANK,204456,0,low Tier 1 Ratio / low CET1 Ratio,0,22.9,22.9,22.9,9.5,134.7,130.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
DF CAPITAL BANK,848291,0,low Tier 1 Ratio / low CET1 Ratio,0,18.0,18.0,20.5,12.8,704.0,148.2,FY2025,FY2025,FY2025,FY2025,FY2025,FY2023,0,0,0,0,0,0
FCE BANK,204469,0,low Tier 1 Ratio / low CET1 Ratio,0,16.59,16.59,18.66,16.95,287.0,153.75,FY2025,FY2025,FY2025,FY2021,,,0,0,0,0,1,1
FCMB UK,502704,0,low Tier 1 Ratio / low CET1 Ratio,0,14.83,19.47,17.43,8.81,273.0,157.0,FY2025,,FY2025,FY2025,FY2025,FY2025,0,1,0,0,0,0
FIRSTBANK UK,216772,0,low Tier 1 Ratio / low CET1 Ratio,0,26.07,26.07,29.67,14.12,409.09,213.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
GATEHOUSE BANK,475346,0,low Tier 1 Ratio / low CET1 Ratio,0,17.1,17.1,20.0,7.4,447.6,153.5,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
GB BANK,850286,0,low Tier 1 Ratio / low CET1 Ratio,0,19.14,19.14,19.14,4.97,210.0,191.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
GHANA INTERNATIONAL BANK,204471,0,low Tier 1 Ratio / low CET1 Ratio,0,22.37,22.37,22.37,14.66,256.31,255.98,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
GOLDMAN SACHS INTERNATIONAL BANK,124659,0,low Tier 1 Ratio / low CET1 Ratio,0,24.81,24.81,28.96,8.39,155.57,130.01,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
GRIFFIN BANK,970920,1,high Tier 1 Ratio / high CET1 Ratio,0,456.0,456.0,456.0,91.0,2675.0,1034.0,FY2023,FY2023,FY2023,FY2023,FY2023,FY2023,0,0,0,0,0,0
GULF INTERNATIONAL BANK UK,124772,0,low Tier 1 Ratio / low CET1 Ratio,0,22.18,22.18,22.18,5.02,286.32,230.91,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
HAMPDEN & CO,606934,0,low Tier 1 Ratio / low CET1 Ratio,0,20.53,20.53,17.0,8.36,262.0,186.0,FY2023,FY2023,FY2025,FY2023,FY2023,FY2023,0,0,0,0,0,0
HAMPSHIRE TRUST BANK,204601,0,low Tier 1 Ratio / low CET1 Ratio,0,13.5,14.1,16.8,7.5,346.9,158.9,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
HANDELSBANKEN,806852,0,low Tier 1 Ratio / low CET1 Ratio,0,17.5,17.5,20.0,9.4,180.0,130.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
HBL BANK UK,188585,0,low Tier 1 Ratio / low CET1 Ratio,0,15.46,19.47,21.29,13.11,235.0,145.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
HSBC BANK PLC,114216,0,low Tier 1 Ratio / low CET1 Ratio,0,17.9,21.6,36.9,4.5,148.0,114.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
HSBC INNOVATION BANK,543146,0,low Tier 1 Ratio / low CET1 Ratio,0,13.5,16.0,19.3,17.6,150.0,203.0,FY2025,FY2025,FY2025,FY2025,FY2022,FY2022,0,0,0,0,0,0
HSBC UK BANK PLC,765112,0,low Tier 1 Ratio / low CET1 Ratio,0,13.2,15.5,18.6,5.6,175.0,146.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ICBC (LONDON) PLC,222030,1,high Tier 1 Ratio / high CET1 Ratio,0,81.09,81.09,81.09,47.48,143.7,173.34,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ICBC STANDARD BANK PLC,124823,0,low Tier 1 Ratio / low CET1 Ratio,0,12.2,13.3,15.0,5.6,197.3,122.8,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
ICICI BANK UK,223268,0,low Tier 1 Ratio / low CET1 Ratio,0,19.57,19.57,22.6,14.18,190.08,151.03,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
IFAST GLOBAL BANK LIMITED,716167,0,low Tier 1 Ratio / low CET1 Ratio,0,20.2,23.9,23.9,11.0,531.0,190.9,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
